registration,field,kept,source_says,source
D-ABYT,livery_name,Retro (1970s 747),Lufthansa Retro,airportwebcams.net
N559AS,livery_name,Salmon-Thirty-Salmon,X̱áat Ḵwáani (Salmon People),airportwebcams.net
N559AS,status,retired,active (site lists it as currently in special livery),airportwebcams.net
N921NN,livery_name,Polished aluminum retro,American Airlines 1967 Retro,airportwebcams.net
N603FR,livery_name,America's Greenest Airline (Frederick the Bald Eagle),America's Green Airline,airportwebcams.net
N871HK,livery_name,The Herbert D. Kelleher,Desert Gold Retro,airportwebcams.net
N872CB,livery_name,Colleen Barrett – Heroine of the Heart,Canyon Blue Retro,airportwebcams.net
N589DT,livery_name,Delta 100 Centennial,100 Years,airportwebcams.net
N527DN,livery_name,Delta 100 Centennial,100 Years,airportwebcams.net
